 Task,Start,Stop,Duration,Description
Pause,2017.05.02 02:03:51,2017.05.02 02:04:22,0,10
Task1,2017.05.02 02:04:22,2017.05.02 02:04:48,0,Demo2
Development,2017.05.02 02:07:23,2017.05.02 02:07:55,0,test1
Development,2017.05.02 02:07:55,2017.05.02 02:08:12,0,start 4
Development,2017.05.02 02:08:12,2017.05.02 02:10:46,2,tset
Email Handling,2017.05.02 02:13:56,2017.05.02 02:14:25,0,Stop Email hanlding
Project,2017.05.02 02:17:27,2017.05.02 02:19:26,1,break
Project,2017.05.02 02:17:27,2017.05.02 02:19:55,2,WC
Project,2017.05.02 02:17:27,2017.05.02 02:23:00,5,return to work
Project,2017.05.02 02:23:00,2017.05.02 03:01:49,38,autohotkey change
Project,2017.05.02 02:23:00,2017.05.02 03:37:38,74,rest
Personal,2017.05.02 03:46:41,2017.05.02 04:06:26,19,back
ProjSup,2017.05.02 04:06:26,2017.05.02 05:57:33,111,enhancement GSM design doc
ProjSup,2017.05.02 04:06:26,2017.05.02 06:06:04,119,rest and summary
ProjSup,2017.05.02 04:06:26,2017.05.02 21:15:44,1029,leave
EH,2017.05.02 21:15:44,2017.05.02 21:38:13,22,start
Dev,2017.05.02 21:38:13,2017.05.02 22:39:26,61,embs setup analysis
Dev,2017.05.02 21:38:13,2017.05.02 23:51:42,133,WC
Dev,2017.05.02 21:38:13,2017.05.03 03:28:39,350,lunch
Home,2017.05.03 03:29:08,2017.05.03 03:29:12,0,rest
rest,2017.05.03 03:29:12,2017.05.03 04:02:55,33,rest
Personal,2017.05.03 04:02:55,2017.05.03 07:07:35,184,SQLPaser
Home,2017.05.03 07:07:35,2017.05.03 21:47:38,880,leave
EH,2017.05.03 21:47:38,2017.05.03 22:08:31,20,start
Dev,2017.05.03 22:08:31,2017.05.03 22:52:52,44,SFAcusip requirement handle
Dev,2017.05.03 22:52:52,2017.05.03 23:15:41,22,OSCAR DQ long running
rest,2017.05.03 23:15:41,2017.05.03 23:36:40,20,wc
ProjSup,2017.05.03 23:36:40,2017.05.04 01:25:58,109,Regulatory HLD Document
rest,2017.05.04 01:25:58,2017.05.04 01:27:46,1,lunch and rest
Dev,2017.05.04 01:27:46,2017.05.04 03:46:26,138,start work
Personal,2017.05.04 03:46:26,2017.05.04 04:35:04,48,Performance Tuning
Home,2017.05.04 04:35:04,2017.05.04 06:14:55,99,rest
Personal,2017.05.04 06:14:55,2017.05.04 21:55:24,940,Parser
EH,2017.05.04 21:55:24,2017.05.04 22:25:34,30,Start
Dev,2017.05.04 22:25:34,2017.05.05 00:03:40,98,OSCAR SFA provide feed
rest,2017.05.05 00:03:40,2017.05.05 01:11:53,68,lunch
Dev,2017.05.05 01:11:53,2017.05.05 02:23:25,71,OSCAR SFACusip Signoff
rest,2017.05.05 02:23:25,2017.05.05 02:47:43,24,rest
Personal,2017.05.05 02:47:43,2017.05.05 04:30:37,102,SQL Parser
rest,2017.05.05 04:30:37,2017.05.05 04:53:18,22,quick break
Dev,2017.05.05 04:53:18,2017.05.05 06:20:12,86,checkin SFACusip code to git
Home,2017.05.05 06:20:12,2017.05.06 04:20:15,1320,checkin SFACusip code to git
